scheme,N,signatureSizeKB,publicKeySizeKB,privateKeySizeKB,timeToSign,timeToVerify
BLS,10,0.96,1.92,0.32,1,7
BGLS,10,0.096,1.92,0.32,9,4
FISCHLIN,10,0.416,1.92,0.32,11,4
BLS,100,9.6,19.2,3.2,20,86
BGLS,100,0.096,19.2,3.2,89,41
FISCHLIN,100,0.416,19.2,3.2,118,42
BLS,1000,96,192,32,180,698
BGLS,1000,0.096,192,32,843,400
FISCHLIN,1000,0.416,192,32,1127,411
BLS,10000,960,1920,320,1745,6782
BGLS,10000,0.096,1920,320,8638,4260
FISCHLIN,10000,0.416,1920,320,11889,4320
BLS,100000,9600,19200,3200,18446,72847
BGLS,100000,0.096,19200,3200,89159,42343
FISCHLIN,100000,0.416,19200,3200,120876,43598
